"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1","Theil's U"
"Training set",2.38469163862479,15.7256911132833,11.9238308666671,0.056120211359213,0.285781933819683,0.052299893233428,-0.0190550465461177,NA
"Test set",-16.1288187598178,23.6806016351002,20.3830342767737,-0.326060090889775,0.408519518139379,0.089403357726974,0.143913646686031,0.764479927907167
"Training set",3.43598442525105,23.165913744358,17.3556116152319,0.060819424691837,0.323577093452428,0.059955412329401,-0.153295681252025,NA
"Test set",101.334630386631,124.889243600729,102.466408139179,1.5478816826427,1.56643722937433,0.353972875522607,0.79790336576344,2.59784552373333
"Training set",-1.95176743298695,35.9434931442075,24.8236118657663,-0.03210006814177,0.346999556515205,0.0685569423572101,-0.12321166981583,NA
"Test set",89.7142347761777,115.853466106231,94.9295642032628,1.0401846269788,1.10423745283663,0.262172994658094,0.662011918986051,1.93881523128167
"Training set",-6.1964700073899,35.0357631572527,24.6152441712344,-0.0652640164502672,0.261537923538777,0.063116067885079,-0.0481835570167651,NA
"Test set",302.889235607855,351.355750972821,303.155038689281,2.95553651239019,2.95822791645843,0.777321316356331,0.787310918197116,8.71274980735723
"Training set",-2.36280969920632,25.9385081926157,20.2126903100498,-0.0224200093647654,0.180637129905932,0.0508386109317384,0.0205594989222385,NA
"Test set",61.9727308584899,66.9077815859,61.9727308584899,0.500893357238231,0.500893357238231,0.155872746485688,0.395003293145847,1.53885611991615
"Training set",7.3058706176356,37.3067979705462,24.0480713274143,0.0536247264620203,0.177304902262609,0.0406785541369062,-0.0489506798137456,NA
"Test set",102.780933696569,157.689695391368,105.46790152041,0.638933264887321,0.656256157158792,0.17840440022369,0.774479143445039,1.86923593645704
