"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1","Theil's U"
"Training set",0,15.8010432725775,12.08679929603,-0.00754397340175931,0.289656948531527,0.0530146997038826,-0.0865379838155665,NA
"Test set",7.79258474576227,26.4636246717455,20.2421610169492,0.146328539676829,0.400457976084487,0.088785464322526,0.474842907409208,0.841437483969461
"Training set",-3.85378993312361e-13,24.2338953898388,18.5624114527489,-0.00657019413680323,0.347832995572379,0.064124333797653,-0.301615143516397,NA
"Test set",129.373834745763,154.614094536999,129.373834745763,1.9799492168664,1.9799492168664,0.446925281504369,0.807456998506855,3.22032544631604
"Training set",-4.00794922203603e-13,40.176172583209,26.3100258546395,-0.00169143542581537,0.367595428037062,0.0726620660880022,-0.430984974689469,NA
"Test set",80.6782838983049,108.784921672283,88.3740466101693,0.93332701574694,1.02789221626896,0.244068206193722,0.654974513956994,1.81740637621423
"Training set",-6.16542186889911e-14,47.5290168147757,33.1574875648365,0.00944790726424512,0.350580756287872,0.0784624474055622,0.381452866695175,NA
"Test set",35.8484537254678,51.7102637384726,42.7958259355496,0.347464440297388,0.41765486169433,0.101270195308968,0.620601332082722,1.25807782408528
"Training set",8.94080007769584e-13,26.3766756888817,20.1712151680552,8.66174737538999e-05,0.1800261596915,0.0507342933681258,0.13836110538774,NA
"Test set",47.3681144067797,53.5578041296252,47.3681144067797,0.382840815690733,0.382840815690733,0.119139466441982,0.401257865684888,1.2351608416045
"Training set",-3.3913785151161e-13,320.282692507405,110.737201953461,-0.0268473844758085,0.843145898176673,0.181260914722029,0.181146794530534,NA
"Test set",884.008580508475,1053.22921439528,885.354766949152,5.567441808861,5.57679714741118,1.44919875235927,0.827970526644667,3.90758880291489
